Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,AJ Griffin (32639941),AJ Griffin,32639941,SG/SF/F/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,3.67
SG,Seth Lundy (32639946),Seth Lundy,32639946,SG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,2.64
SG/SF,Garrison Mathews (32639949),Garrison Mathews,32639949,SG/SF/F/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,7.1
PG,Vit Krejci (32639954),Vit Krejci,32639954,PG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,0
C,Mouhamed Gueye (32639957),Mouhamed Gueye,32639957,C/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,ATL,1
PG,Jeenathan Williams (32640064),Jeenathan Williams,32640064,PG/G/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,5.86
SF/PF,Jae'Sean Tate (32640067),Jae'Sean Tate,32640067,SF/PF/F/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,11.99
C,Boban Marjanovic (32640071),Boban Marjanovic,32640071,C/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,6.39
C,Steven Adams (32640073),Steven Adams,32640073,C/UTIL,3000,HOU@ATL 02/10/2024 07:30PM ET,HOU,0
SG,Jules Bernard (32639861),Jules Bernard,32639861,SG/G/UTIL,3000,PHI@WAS 02/10/2024 07:00PM ET,WAS,4.04
PG,Jared Butler (32639864),Jared Butler,32639864,PG/G/UTIL,3000,PHI@WAS 02/10/2024 07:00PM ET,WAS,9.31
SG,Johnny Davis (32639867),Johnny Davis,32639867,SG/G/UTIL,3000,PHI@WAS 02/10/2024 07:00PM ET,WAS,4.73
SF/PF,Isaiah Livers (32639870),Isaiah Livers,32639870,SF/PF/F/UTIL,3000,PHI@WAS 02/10/2024 07:00PM ET,WAS,10.89
PF/C,Robert Covington (32639976),Robert Covington,32639976,PF/C/F/UTIL,3000,PHI@WAS 02/10/2024 07:00PM ET,PHI,13.87
C,Nathan Mensah (32639905),Nathan Mensah,32639905,C/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,6.43
SG,Amari Bailey (32639907),Amari Bailey,32639907,SG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,2.83
PF/C,JT Thor (32639910),JT Thor,32639910,PF/C/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,8.16
SG,James Bouknight (32639914),James Bouknight,32639914,SG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,5.7
PG,Frank Ntilikina (32639917),Frank Ntilikina,32639917,PG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,3.7
PG/SG,Tre Mann (32639920),Tre Mann,32639920,PG/SG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,8.81
PF/C,Davis Bertans (32639924),Davis Bertans,32639924,PF/C/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,CHA,5.77
